movieId	title	genres
323808	The Wicker Tree (2011)	Drama|Horror
337692	On the Road (2012)	Adventure|Drama|Romance
376136	The Rum Diary (2011)	Comedy|Drama
377981	Gnomeo & Juliet (2011)	Animation|Adventure|Comedy|Family|Romance
383010	The Three Stooges (2012)	Comedy|Family
398286	Tangled (2010)	Animation|Adventure|Comedy|Family|Fantasy|Musical|Romance
401729	John Carter (2012)	Action|Adventure|Sci-Fi
403645	Utomlyonnye solntsem 2: Predstoyanie (2010)	Drama|War
404978	Gambit (2012)	Comedy|Crime
409847	Cowboys & Aliens (2011)	Action|Sci-Fi|Thriller|Western
411951	Tekken (2010)	Action|Crime|Drama|Sci-Fi|Thriller
423474	Venus & Vegas (2010)	Action|Comedy|Crime
427152	Dinner for Schmucks (2010)	Comedy
429493	The A-Team (2010)	Action|Adventure|Thriller
431021	The Possession (2012)	Horror|Mystery|Thriller
433035	Real Steel (2011)	Action|Drama|Family|Sci-Fi|Sport
435761	Toy Story 3 (2010)	Animation|Adventure|Comedy|Family|Fantasy
443272	Lincoln (2012)	Biography|Drama|History|War
445054	Les 7 jours du talion (2010)	Crime|Drama|Horror|Thriller
446029	Scott Pilgrim vs. the World (2010)	Action|Comedy|Fantasy|Romance
448022	A Bird of the Air (2011)	Drama|Romance
454876	Life of Pi (2012)	Adventure|Drama|Fantasy
455323	Being Flynn (2012)	Drama
455407	The Crazies (2010)	Horror|Thriller
458339	Captain America: The First Avenger (2011)	Action|Adventure|Sci-Fi
458481	Sin City: A Dame to Kill For (2014)	Crime|Thriller
459748	Generation P (2011)	Comedy|Drama|Sci-Fi
460778	Drunkboat (2010)	Drama
460890	The Only Living Boy in New York (2017)	Drama
461336	Salvando al Soldado Pérez (2011)	Adventure|Comedy|Western
464154	Piranha (2010)	Comedy|Horror
466893	Margaret (2011)	Drama
471042	Tower Heist (2011)	Action|Comedy|Crime
472181	The Smurfs (2011)	Animation|Adventure|Comedy|Family|Fantasy
472399	The Mechanic (2011)	Action|Crime|Thriller
473075	Prince of Persia: The Sands of Time (2010)	Action|Adventure|Fantasy
473364	The Heavy (2010)	Thriller
477080	Unstoppable (2010)	Action|Thriller
477302	Extremely Loud &amp; Incredibly Close (2011)	Adventure|Drama|Mystery
478304	The Tree of Life (2011)	Drama|Fantasy
479997	Season of the Witch (2011)	Action|Adventure|Fantasy
480239	Atlas Shrugged: Part I (2011)	Drama|Mystery|Sci-Fi
480255	The Losers (2010)	Action|Adventure|Crime|Mystery|Thriller
480687	Hall Pass (2011)	Comedy|Romance
481499	The Croods (2013)	Animation|Action|Adventure|Comedy|Family|Fantasy
482461	Barry Munday (2010)	Comedy|Drama|Romance
485985	Red Tails (2012)	Action|Adventure|Drama|History|War
490215	Silence (2016)	Adventure|Drama|History
491152	Something Borrowed (2011)	Comedy|Drama|Romance
492389	Furry Vengeance (2010)	Comedy|Family
493949	Ramona and Beezus (2010)	Adventure|Comedy|Family|Fantasy
498381	Rings (2017)	Drama|Horror|Mystery|Romance|Thriller
758752	Love &amp; Other Drugs (2010)	Comedy|Drama|Romance
762138	Syrup (2013)	Comedy|Drama|Romance
763831	A Thousand Words (2012)	Comedy|Drama
765446	Escape from Planet Earth (2013)	Animation|Adventure|Comedy|Family|Sci-Fi
770703	What's Your Number? (2011)	Comedy|Romance
770802	Samsara (2011)	Documentary|Music
770828	Man of Steel (2013)	Action|Adventure|Sci-Fi
775489	L'illusionniste (2010)	Animation|Drama
775543	Night Catches Us (2010)	Drama|Romance
780504	Drive (2011)	Crime|Drama
780645	War of the Dead (2011)	Action|Adventure|Horror|Sci-Fi|Thriller|War
780653	The Wolfman (2010)	Drama|Fantasy|Horror|Thriller
790663	The First Grader (2010)	Biography|Drama|Romance
790724	Jack Reacher (2012)	Action|Crime|Thriller
790736	R.I.P.D. (2013)	Action|Adventure|Comedy|Fantasy|Sci-Fi
795459	Wilde Salomé (2011)	Documentary|Drama
795461	Scary Movie 5 (2013)	Comedy
798817	13 (2010)	Drama|Thriller
800320	Clash of the Titans (2010)	Action|Adventure|Fantasy
800369	Thor (2011)	Action|Adventure|Fantasy|Sci-Fi
803061	Red Dog (2011)	Biography|Comedy|Drama|Family|Romance
803096	Warcraft (2016)	Action|Adventure|Fantasy
804497	It's Kind of a Funny Story (2010)	Comedy|Drama|Romance
808510	Tooth Fairy (2010)	Comedy|Family|Fantasy|Sport
810913	Jack and Jill (2011)	Comedy
810922	Take Me Home Tonight (2011)	Comedy|Drama|Romance
811137	The Do-Deca-Pentathlon (2012)	Comedy
814255	Percy Jackson & the Olympians: The Lightning Thief (2010)	Adventure|Family|Fantasy
815236	She's Out of My League (2010)	Comedy|Romance
816362	Card Subject to Change (2010)	Documentary
816462	Conan the Barbarian (2011)	Action|Adventure|Fantasy
816711	World War Z (2013)	Action|Adventure|Horror|Sci-Fi|Thriller
817177	Flipped (2010)	Comedy|Drama|Romance
817230	Valentine's Day (2010)	Comedy|Romance
822847	Priest (2011)	Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller
829150	Dracula Untold (2014)	Action|Drama|Fantasy|Horror|War
829176	Gallowwalkers (2012)	Action|Horror|Thriller|Western
835418	The Babymakers (2012)	Comedy
835802	Krystal (2017)	Comedy|Drama
837562	Hotel Transylvania (2012)	Animation|Comedy|Family|Fantasy|Horror
840358	Everyday Sunshine: The Story of Fishbone (2010)	Documentary|Music
840361	The Town (2010)	Crime|Drama|Thriller
842926	The Kids Are All Right (2010)	Comedy|Drama|Romance
844993	Hoodwinked Too! Hood vs. Evil (2011)	Animation|Comedy|Crime|Family|Mystery
847825	The Speed of Thought (2011)	Sci-Fi|Thriller
848228	The Avengers (2012)	Action|Adventure|Sci-Fi
858411	2001 Maniacs: Field of Screams (2010)	Comedy|Horror
859635	Super Troopers 2 (2018)	Comedy|Crime|Mystery
860907	Evangerion shin gekijôban: Kyu (2012)	Animation|Action|Drama|Sci-Fi
864835	Mr. Peabody &amp; Sherman (2014)	Animation|Adventure|Comedy|Family|Sci-Fi
872230	My Soul to Take (2010)	Horror|Mystery|Thriller
873886	Red State (2011)	Action|Crime|Horror|Thriller
878835	Please Give (2010)	Comedy|Drama
879870	Eat Pray Love (2010)	Drama|Romance
880569	Mama I Want to Sing (2011)	Musical
881320	Sanctum (2011)	Adventure|Drama|Thriller
884214	Wreckage (2010)	Horror|Thriller
884726	Legends of Oz: Dorothy's Return (2013)	Animation|Adventure|Family|Fantasy|Musical
887143	Hyenas (2011)	Horror
889573	The Switch (2010)	Comedy|Drama|Romance
892318	Letters to Juliet (2010)	Adventure|Comedy|Drama|Romance
