TMDB_ID	Adult	Budget	Genre_ID	Genre_Name	IMDB_ID	Movie_Name	Language	Synopsis	Popularity	Production_Company_IDs	Production_Company_Names	Production_Country_Names	Release_Date	Running_Time	Vote_Count	Vote_Average	Revenue	Tagline	Director	Cast	Screenplay	DOP	Editor	Music_Composer	Assistant_Director
189	false	65000000	80,28,53,	Crime,Action,Thriller,	tt0458481	Sin City: A Dame to Kill For	en	Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.	21.442	41658,14,10807,11006,13241,29076,11005,	Residaco,Miramax,Troublemaker Studios,Aldamisa Entertainment,Demarest Films,Solipsist Film,AR Films,	,US,US,,,,,	2014-08-20	102	2533	6.3	39407616	There is no justice without sin.	Robert Rodriguez,Frank Miller,	Mickey Rourke,Jessica Alba,Josh Brolin,Joseph Gordon-Levitt,Rosario Dawson,Bruce Willis,Eva Green,Powers Boothe,Dennis Haysbert,Ray Liotta,Stacy Keach,Jaime King,Christopher Lloyd,Jamie Chung,Jeremy Piven,Christopher Meloni,Juno Temple,Marton Csokas,Jude Ciccolella,Julia Garner,Lady Gaga,Alexa PenaVega,Patricia Vonne,Bart Fletcher,Alejandro Rose-Garcia,Samuel Davis,Mike Davis,Kimberly Cox,Alcides Dias,Vincent Fuentes,Billy Blair,Rob Franco,Daylon Walton,Eloise DeJoria,Bob Schreck,Lawrence Varnado,Jimmy Gonzales,Tommy Townsend,Robert Lott,Gregory Kelly,Patrick Sane,Greg Ingram,Will Beinbrink,Dimitrius Pulido,John Wirt,Emmy Robbin,Luis Albert Acevedo Jr.,Christian Bowman,Johnny Reno,Callie Hernandez,		Robert Rodriguez,	Robert Rodriguez,	Robert Rodriguez,Carl Thiel,	
1771	false	140000000	28,12,878,	Action,Adventure,Science Fiction,	tt0458339	Captain America: The First Avenger	en	During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.	20.78	420,4,	Marvel Studios,Paramount,	US,US,	2011-07-22	124	14562	6.9	370569774	When patriots become heroes	Joe Johnston,	Chris Evans,Hayley Atwell,Sebastian Stan,Tommy Lee Jones,Hugo Weaving,Dominic Cooper,Richard Armitage,Stanley Tucci,Samuel L. Jackson,Toby Jones,Neal McDonough,Derek Luke,Kenneth Choi,J.J. Feild,Bruno Ricci,Lex Shrapnel,Michael Brandon,Martin Sherman,Natalie Dormer,Oscar Pearce,William Hope,Nicholas Pinnock,Marek Oravec,David Bradley,Leander Deeny,Sam Hoare,Simon Kunz,Kieran O'Connor,Jenna Coleman,Sophie Colquhoun,Doug Cockle,Ben Batt,Mollie Fitzgerald,Damon Driver,David McKail,Amanda Walker,Richard Freeman,Katherine Press,Sergio Covino,Marcello Walton,Anatole Taubman,Jan Pohl,Erich Redman,Rosanna Hoult,Naomi Slights,Kirsty Mather,Laura Haddock,James Payton,Ronan Raftery,Nick Hendrix,Luke Allen-Gale,Jack Gordon,Ben Uttley,Patrick Monckeberg,Amanda Righetti,Stan Lee,	Christopher Markus,Stephen McFeely,	Shelly Johnson,	Robert Dalva,Jeffrey Ford,	Alan Silvestri,	
1865	false	380000000	12,28,14,	Adventure,Action,Fantasy,	tt1298650	Pirates of the Caribbean: On Stranger Tides	en	Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.	28.837	2,130,20478,	Walt Disney Pictures,Jerry Bruckheimer Films,Moving Picture Company,	US,US,GB,	2011-05-14	136	9665	6.4	1045713802	Live Forever Or Die Trying.	Rob Marshall,	Johnny Depp,Penélope Cruz,Ian McShane,Kevin McNally,Geoffrey Rush,Sam Claflin,Astrid Bergès-Frisbey,Stephen Graham,Greg Ellis,Damian O'Hare,Óscar Jaenada,Richard Griffiths,Keith Richards,Gemma Ward,Judi Dench,Ian Mercer,Robbie Kay,Christopher Fairbank,Yuki Matsuzaki,Steve Evets,Bronson Webb,Derek Mears,Deobia Oparei,Sebastian Armesto,Anton Lesser,Roger Allam,Paul Bazely,Richard Thomson,Danny Le Boyer,Alan J. Utley-Moore,Luke Roberts,Emilia Jones,Sanya Hughes,Daniel Ings,LeJon,Siegfried Peters,Bobby Holland Hanton,Juan Carlos Vellido,	Ted Elliott,Terry Rossio,	Dariusz Wolski,	David Brenner,Wyatt Smith,	Hans Zimmer,	
1930	false	215000000	28,12,14,	Action,Adventure,Fantasy,	tt0948470	The Amazing Spider-Man	en	Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.	20.555	5,7505,326,34,	Columbia Pictures,Marvel Entertainment,Laura Ziskin Productions,Sony Pictures,	US,US,,US,	2012-06-23	136	11595	6.5	757930663	The untold story begins.	Marc Webb,	Andrew Garfield,Emma Stone,Rhys Ifans,Denis Leary,Martin Sheen,Sally Field,Irrfan Khan,Campbell Scott,Embeth Davidtz,Chris Zylka,Max Charles,C. Thomas Howell,Jake Keiffer,Kari Coleman,Michael Barra,Leif Gantvoort,Andy Pessoa,Hannah Marks,Kelsey Asbille,Kevin McCorkle,Andy Gladbach,Ring Hendricks-Tellefsen,Barbara Eve Harris,Stan Lee,Danielle Burgio,Tom Waite,Keith Campbell,Steve DeCastro,Jill Flint,Mark Daugherty,Milton González,Skyler Gisondo,Charlie DePew,Jacob Rodier,Vincent Laresca,Damien Lemon,Ty Upshaw,James Chen,Alexander Bedria,Tia Texada,Jay Caputo,John Burke,Terry Bozeman,Jennifer Lyons,Michael Massee,Amber Stevens West,Michael Papajohn,Zoey Deutch,Jody Cosgrove-Kao,Max Bogner,Ethan Cohn,Miles Elliot,Miranda LaDawn Hill,Amanda MacDonald,Maury Morgan,Amy Novondo,	Alvin Sargent,Steve Kloves,James Vanderbilt,	John Schwartzman,	Pietro Scalia,Alan Edward Bell,	James Horner,	
4258	false	20000000	35,	Comedy,	tt0795461	Scary Movie 5	en	Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.	11.961	7405,	Dimension Films,	US,	2013-04-11	86	1783	4.7	78378744	Evil is coming. Bring protection.	Malcolm D. Lee,	Ashley Tisdale,Simon Rex,Gracie Whitton,Ava Kolker,Dylan Morris,Ryan Morris,Lidia Porto,Darrell Hammond,Snoop Dogg,Mac Miller,Erica Ash,J.P. Manoux,Molly Shannon,Josh Robert Thompson,Marisa Saks,Marianne Hammock,Terry Crews,Tyler Posey,Sarah Hyland,Shad Moss,Katrina Bowden,Christopher 'Critter' Antonucci,Scot Nery,Ben Cornish,Katt Williams,Heather Locklear,Lewis Thompson,Charlie Sheen,Lindsay Lohan,Jerry O'Connell,Jamie Elizabeth Kelton,Macsen Lintz,John Atwood,Lane Carlock,Shereé Whitfield,Angela Raiola,Lil Duval,Angie Stone,Jasmine Guy,Ashley LeConte Campbell,Kate Walsh,Usher,Mike Tyson,Clifton Guterman,Anna Skidanova,Clayton Landey,Scott Rousseau,Maui Tisdale,		Steven Douglas Smith,	Sam Seig,	James L. Venable,	
7978	false	150000000	27,	Horror,	tt0780653	The Wolfman	en	Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.	12.165	4403,33,7295,	Stuber Productions,Universal Pictures,Relativity Media,	,US,US,	2010-02-11	102	1170	5.7	0	When the moon is full the legend comes to life	Joe Johnston,	Benicio del Toro,Anthony Hopkins,Emily Blunt,Hugo Weaving,Cristina Contes,David Sterne,Elizabeth Croft,Simon Merrells,Art Malik,Asa Butterfield,Geraldine Chaplin,Olga Fedori,Lorraine Hilton,John Owens,Gemma Whelan,Nicholas Day,David Schofield,Clive Russell,Antony Sher,Max von Sydow,	Curt Siodmak,Andrew Kevin Walker,David Self,	Shelly Johnson,	Walter Murch,Mark Goldblatt,Dennis Virkler,	Danny Elfman,	
8967	false	32000000	18,14,	Drama,Fantasy,	tt0478304	The Tree of Life	en	The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.	12.223	81,43,1246,	Plan B Entertainment,Fox Searchlight Pictures,River Road Entertainment,	US,US,,	2011-05-18	139	2010	6.7	54674226	Nothing stands still.	Terrence Malick,	Brad Pitt,Sean Penn,Jessica Chastain,Hunter McCracken,Finnegan Williams,Michael Koeth,Laramie Eppler,Tye Sheridan,Kari Matchett,Joanna Going,Michael Showers,Kimberly Whalen,Jackson Hurst,Fiona Shaw,Crystal Mantecon,Tamara Jolaine,Dustin Allen,John Howell,		Emmanuel Lubezki,	Jay Rabinowitz,Billy Weber,Hank Corwin,Daniel Rezende,Mark Yoshikawa,	Alexandre Desplat,	
9364	false	5692172	18,10749,	Drama,Romance,	tt1181614	Wuthering Heights	en	Yorkshire moorlands, northern England, in the late 18th century. Young Heathcliff, rescued from the streets of Liverpool by Mr. Earnshaw, the owner of Wuthering Heights, an isolated farm, develops over the years an insane passion for Cathy, his foster sister, a sick obsession destined to end tragically…	8.784	1267,2452,6705,500,2690,2395,	Ecosse Films,UK Film Council,Film4 Productions,Goldcrest,Screen Yorkshire,HanWay Films,	GB,GB,GB,GB,GB,GB,	2011-09-05	124	132	5.9	1742215	Love is a force of nature	Andrea Arnold,	Kaya Scodelario,James Howson,Solomon Glave,Shannon Beer,Steve Evets,Oliver Milburn,Paul Hilton,Simone Jackson,Lee Shaw,James Northcote,Amy Wren,Nichola Burley,Adam Lock,Eve Coverley,Jonny Powell,Emma Ropner,Richard Guy,Michael Hughes,Paul Murphy,	Olivia Hetreed,Andrea Arnold,	Robbie Ryan,	Nicolas Chaudeurge,		
9543	false	150000000	12,14,28,10749,	Adventure,Fantasy,Action,Romance,	tt0473075	Prince of Persia: The Sands of Time	en	A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.	18.299	2,130,	Walt Disney Pictures,Jerry Bruckheimer Films,	US,US,	2010-05-19	116	4644	6.2	335154643	Defy the Future	Mike Newell,	Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,Steve Toussaint,Toby Kebbell,Richard Coyle,Ronald Pickup,Reece Ritchie,Gísli Örn Garðarsson,Claudio Pacifico,Thomas DuPont,Farzana Dua Elahe,Ambika Jois,	Boaz Yakin,Doug Miro,Carlo Bernard,	John Seale,	Mick Audsley,Michael Kahn,Martin Walsh,	Harry Gregson-Williams,	
10138	false	200000000	12,28,878,	Adventure,Action,Science Fiction,	tt1228705	Iron Man 2	en	With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.	30.63	420,4,	Marvel Studios,Paramount,	US,US,	2010-04-28	124	14104	6.8	623933331	It's not the armor that makes the hero, but the man inside.	Jon Favreau,	Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Sam Rockwell,Mickey Rourke,Samuel L. Jackson,Clark Gregg,John Slattery,Garry Shandling,Paul Bettany,Kate Mara,Leslie Bibb,Jon Favreau,Christiane Amanpour,Philippe Bergeron,James Bethea,Michael Bruno,Kate Clark,Luminita Docan,François Duhamel,Larry Ellison,Adam Goldstein,Tim Guinee,Eric L. Haney,Ali Khan,Evgeniy Lazarev,Stan Lee,Isaiah Guyman Martin IV,Helena Mattsson,Anya Monzikova,Keith Middlebrook,Margy Moore,Olivia Munn,Elon Musk,Bill O'Reilly,Alejandro Patiño,Davin Ransom,Karim Saleh,Brian Schaeffer,Phillipe Simon,Jack White,Melanie Brown,Krystal Ellsworth,Victoria Gracie,Gina Cantrell,Renee Herlocker,Jill Ann Pineda-Arnold,Sandy Colton,Annika Ihnat,Jenny Robinson,Lindsay Dennis,Jennifer D. Johnson,Lindsay Rosenberg,Hannah Douglass,Brooke Long,Rachele Brooke Smith,Nadine Ellis,Kylette Zamora,Donessa Alexander,Martin Andris,Cassity Atkins,Gregory Baldi,Elya Beer,Ayelet Ben-Shahar,Chris Borden,Pete Brown,Basilina Butler,John Ceallach,Katie Cleary,Ajarae Coleman,Rick L. Dean,Timothy 'TJ' James Driscoll,Jasmine Dustin,Mark Casimir Dyniewicz,Sam Felman,Caitlin Gallo,Shakira Vanise Gamble,Paul Grace,James Granville,Kathryn Henzler,Jennifer Lynne Johnson,Mark Kubr,Cameron Lee,Jee-Yun Lee,Waymond Lee,Mathew Lorenceau,Christopher Maleki,Richard Markman,Bryan McCoy,Ed Moy,Delka Nenkova,Tony Nevada,Allison Ochmanek,Nicolas Pajon,H.E. Victor J.W. Pekarcik III,Erin Pickett,Olivia Presley,Steven James Price,Kiana Prudhont,Tanner Alexander Redman,Tanoai Reed,Kelly Sarah,Torin Sixx,Peter Trenholm Smith,Grace Stanley,Doug Swander,Michael A. Templeton,Rosa Tyabji,Peter Sebastian Wrobel,Maria Zambrana,Nick W. Nicholson,	Justin Theroux,	Matthew Libatique,	Richard Pearson,Dan Lebental,		
